圣多美和普林西比	239	Sao Tome and Principe	S
圣卢西亚	1758	Saint Lueia	S
圣卢西亚	1758	St.Lucia	S
圣马力诺	378	San Marino	S
圣文森特	1784	St.Vincent	S
圣文森特岛	1784	Saint Vincent	S
斯里兰卡	94	Sri Lanka	S
斯洛伐克	421	Slovakia	S
斯洛文尼亚	386	Slovenia	S
斯威士兰	268	Swaziland	S
苏丹	249	Sudan	S
苏里南	597	Suriname	S
所罗门群岛	677	Solomon Is	S
索马里	252	Somali	S
塔吉克斯坦	992	Tajikstan	T
泰国	66	Thailand	T
坦桑尼亚	255	Tanzania	T
汤加	676	Tonga	T
特立尼达和多巴哥	1809	Trinidad and Tobago	T
突尼斯	216	Tunisia	T
土耳其	90	Turkey	T
土库曼斯坦	993	Turkmenistan	T
危地马拉	502	Guatemala	W
委内瑞拉	58	Venezuela	W
文莱	673	Brunei	W
乌干达	256	Uganda	W
乌克兰	380	Ukraine	W
乌拉圭	598	Uruguay	W
乌兹别克斯坦	233	Uzbekistan	W
西班牙	34	Spain	X
西萨摩亚	685	Samoa Western	X
希腊	30	Greece	X
新加坡	65	Singapore	X
新西兰	64	NewZealand	X
匈牙利	36	Hungary	X
叙利亚	963	Syria	X
牙买加	1876	Jamaica	Y
亚美尼亚	374	Armenia	Y
也门	967	Yemen	Y
伊拉克	964	Iraq	Y
伊朗	98	Iran	Y
以色列	972	Israel	Y
意大利	39	Italy	Y
印度	91	India	Y
印度尼西亚	62	Indonesia	Y
英国	44	United Kiongdom	Y
约旦	962	Jordan	Y
越南	84	Vietnam	Y
赞比亚	260	Zambia	Z
扎伊尔	243	Zaire	Z
乍得	235	Chad	Z
直布罗陀	350	Gibraltar	Z
智利	56	Chile	Z
中非共和国	236	Central African Republic	Z
中国澳门	853	Macao	Z
中国台湾	886	Taiwan	Z
中国香港	852	Hongkong	Z
